Timestamp,activo,genero,edad,area_arqueologia,fuente_ingresos,tiempo_experiencia,formacion_academica,salario,departamento,factor_ingreso,cargo,sector_mercado,estabilidad_ingreso,dias_campo,personas_cargo,tecnologia,problema_laboral,valor_posgrado,area_posgrado,percepcion_remuneracion,solucion_profesion,"22.  Si pudieras decidir de nuevo, ¿volverías a elegir arqueología en Colombia como profesión? Califica de 1 a 5

1. No
2. Probablemente no
3. Quizás...Tal vez
4. Probablemente si
5. Claro ¡Me encanta!",Comentarios y sugerencias que nos quieras hacer o compartir. Puedes dejarnos reflexiones y anécdotas sobre tu vida profesional. Queremos escucharte,area_posgrado_original,volveria_elegir,id_respuesta,tipo_lugar
6/1/2026 19:51:47,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,Entre 1 a 3 años,Especializacion,De 2.5 millones a 3 millones,Bogota D.C.,Red de contactos,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,Ninguna,"Excel, QGis",Bajos salarios,NA,Otro,Mucho menor a la que debería ganar,Más regulación del sector,1,NA,Otro,1,11,Departamento
6/1/2026 19:56:15,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 4 millones a 5 millones,Bogota D.C.,Años de experiencia,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,Ninguna,"Excel, Word, QGis",Falta de estabilidad laboral,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,2,NA,No tengo posgrado,2,12,Departamento
6/1/2026 19:56:15,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 4 millones a 5 millones,Magdalena,Años de experiencia,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,Ninguna,"Excel, Word, QGis",Falta de estabilidad laboral,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,2,NA,No tengo posgrado,2,12,Departamento
6/1/2026 19:56:15,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 4 millones a 5 millones,Meta,Años de experiencia,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,Ninguna,"Excel, Word, QGis",Falta de estabilidad laboral,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,2,NA,No tengo posgrado,2,12,Departamento
6/1/2026 19:57:05,"Si, es mi profesión principal",Hombre,26 años - 30 años,ICANH,"Empleado directo de tiempo completo, Modelos de datos",4 a 6 años,Especializacion,De 4 millones a 5 millones,Bogota D.C.,Manejo de SIG,Auxiliar de arqueologia,Obras civiles y construccion,Muy estables,De 1 a 5 días,Ninguna,"Excel, Word, Python, QGis, Google Maps, Fotogrametría, Inteligencia Artificial",Bajos salarios,NA,"SIG, Geografía y Ciencias Ambientales",Mucho menor a la que debería ganar,Mejores salarios,4,Hay estabilidad laboral pero los sueldos hace años no suben.,SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,4,13,Departamento
6/1/2026 19:57:19,"Si, es mi profesión principal",Hombre,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Investigador forense",Menos de 1 año,Pregrado,De 3 millones a 4 millones,Bogota D.C.,Años de experiencia,Auxiliar de arqueologia,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Bajos salarios,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,1,NA,No tengo posgrado,1,14,Departamento
6/1/2026 19:58:49,"No actualmente, pero lo he hecho antes",Hombre,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Trabajador independiente,4 a 6 años,Maestría,Menos de 2 millones de pesos,Bogota D.C.,Redes sociales,Tallerista,Trabajo independiente o por proyectos,Ocasionales o esporadicos,No realizo trabajo de campo,Ninguna,"Excel, Word, Google Maps, Fotogrametría, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Diferencias entre sectores,NA,Antropología y Arqueología,Algo menor de lo que debería ganar,Mayor estabilidad laboral,1,"Abandoné la arqueología para empezar en otro campo, en la educación, la arqueología sirvió como un puente para ese proceso. Definitivamente no volvería a estudiar algo relacionado con la arqueología y no volvería a trabajar en una empresa relacionada con la arqueología preventiva. La doble moral de las vacas sagradas, los malos tratos y la destrucción del patrimonio arqueológico a manos de aquellos/as que se suponen deben protegerlo, es algo bastante desilusionante. Lastimosamente la arqueología se convirtió en un foco de estres, comenzó siendo una oportunidad reveladora, desafiante, pero rápidamente se convirtió en algo negativo para mí.",Antropología en general o arqueología,1,15,Departamento
6/1/2026 19:59:22,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 5 millones a 6 millones,Bolivar,Tener RNA,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,De 4 a 10 personas,"Excel, Word, Google Sheets, Google Maps, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,NA,"Patrimonio, Museología y Arquitectura",Aproximadamente lo que debería ganar,Mayor estabilidad laboral,4,NA,Gestión del patrimonio cultural. Curaduría y restauración. Arquitectura. Estudios urbanisticos. Museología. Artes,4,16,Departamento
6/1/2026 19:59:37,"Si, es mi profesión principal",Prefiero no decirlo,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Especializacion,De 5 millones a 6 millones,Bogota D.C.,Comunicacion y persuasion,Coordinador de proyectos,Consultoria ambiental o estudios de impacto,Muy estables,No realizo trabajo de campo,Más de 10 personas,"Excel, Word, Google Sheets, Python, SPSS, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Informacion laboral dispersa,NA,Tecnología,Aproximadamente lo que debería ganar,Mejor claridad en los honorarios o sueldos,2,NA,Ciencias de datos. Ingeniería de sistemas. Analítica de datos. Inteligencia artificial,2,17,Departamento
6/1/2026 20:00:01,"Si, es mi profesión principal",Mujer,41 años - 45 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Maestría,De 4 millones a 5 millones,Bogota D.C.,Tener RNA,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,De 6 a 10 días,Ninguna,"Excel, Word, QGis, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc",Otro,NA,Otro,Mucho menor a la que debería ganar,Más regulación del sector,4,"1. Este tipo de ejercicios son muy valiosos, pero igual está sectorizados, las Universidades debería reevaluar su pensum y sus propios profesores algunos repiten lo que han hecho, repiten, repiten  cambian cositas pero es lo mismo.
2. Igual que existe el ICANH debería existe una agrupación seria, que actualmente no se tiene... 
3. Dicha agrupación debería ofertar, cursos, diplomados sobre diversos temas. 
4. La Rosca que se tiene al interior el gremio, no ayuda, la poca empatía.(Colegas que abarcan y abarcan muchas licencias, por ley se debería monitorear, que se tuviera  un tope maximo de licencias)

 5. Se debería tener un representante por universidades en dicha agrupación e ir regulando que se enseña, aterrizar las prácticas ....",Otro,4,18,Departamento
6/1/2026 20:00:11,"Si, es mi profesión principal",Mujer,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Especializacion,De 5 millones a 6 millones,Bogota D.C.,Años de experiencia,Arqueologo,Obras civiles y construccion,Muy estables,De 1 a 5 días,Ninguna,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, Google Maps, Fotogrametría, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,No tengo posgrado,"SIG, Geografía y Ciencias Ambientales",Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,NA,SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,5,19,Departamento
6/1/2026 20:01:10,No,Hombre,20 años - 25 años,"Arqueología académica o básica: docencia, investigación, editoriales, museos, semilleros, proyectos academicos, universidades",Nunca he ganado ingresos,Menos de 1 año,Pregrado,Nunca he ganado nada,Santander,Años de experiencia,Desempleado,Voluntariado,Ninguno,Más de 15 días,Ninguna,"Excel, Word, Google Sheets, SPSS, QGis, Google Maps, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Otro,NA,No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,5,NA,No tengo posgrado,5,20,Departamento
6/1/2026 20:01:38,"No actualmente, pero lo he hecho antes",Genero no binario,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,Menos de 2 millones de pesos,Atlantico,Tener RNA,Desempleado,Obras civiles y construccion,Ocasionales o esporadicos,De 1 a 5 días,Ninguna,"Excel, Word, SPSS, QGis, ArcGis, AutoCAD",Exceso de informalidad,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,1,"La arqueología en colombia tiene muy mal manejo ambiental de parte de autoridades. Falta de respaldo y garantías, es un gremio muy conflictivo, desigual, corrupto y vendido a los intereses del sector privado.",No tengo posgrado,1,21,Departamento
6/1/2026 20:01:38,"No actualmente, pero lo he hecho antes",Genero no binario,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,Menos de 2 millones de pesos,Bolivar,Tener RNA,Desempleado,Obras civiles y construccion,Ocasionales o esporadicos,De 1 a 5 días,Ninguna,"Excel, Word, SPSS, QGis, ArcGis, AutoCAD",Exceso de informalidad,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,1,"La arqueología en colombia tiene muy mal manejo ambiental de parte de autoridades. Falta de respaldo y garantías, es un gremio muy conflictivo, desigual, corrupto y vendido a los intereses del sector privado.",No tengo posgrado,1,21,Departamento
6/1/2026 20:01:38,"No actualmente, pero lo he hecho antes",Genero no binario,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,Menos de 2 millones de pesos,Cundinamarca,Tener RNA,Desempleado,Obras civiles y construccion,Ocasionales o esporadicos,De 1 a 5 días,Ninguna,"Excel, Word, SPSS, QGis, ArcGis, AutoCAD",Exceso de informalidad,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,1,"La arqueología en colombia tiene muy mal manejo ambiental de parte de autoridades. Falta de respaldo y garantías, es un gremio muy conflictivo, desigual, corrupto y vendido a los intereses del sector privado.",No tengo posgrado,1,21,Departamento
6/1/2026 20:01:38,"No actualmente, pero lo he hecho antes",Genero no binario,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,Menos de 2 millones de pesos,Meta,Tener RNA,Desempleado,Obras civiles y construccion,Ocasionales o esporadicos,De 1 a 5 días,Ninguna,"Excel, Word, SPSS, QGis, ArcGis, AutoCAD",Exceso de informalidad,NA,No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,1,"La arqueología en colombia tiene muy mal manejo ambiental de parte de autoridades. Falta de respaldo y garantías, es un gremio muy conflictivo, desigual, corrupto y vendido a los intereses del sector privado.",No tengo posgrado,1,21,Departamento
6/1/2026 20:01:50,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 3 millones a 4 millones,Bogota D.C.,Red de contactos,Arqueologo,Obras civiles y construccion,Variables. Dependen de contratos,De 1 a 5 días,Ninguna,"Excel, Word, QGis, Fotogrametría",Falta de estabilidad laboral,NA,No tengo posgrado,Algo menor de lo que debería ganar,Más regulación del sector,2,NA,No tengo posgrado,2,22,Departamento
6/1/2026 20:02:36,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 2.5 millones a 3 millones,Bogota D.C.,Tener RNA,Auxiliar de arqueologia,Obras civiles y construccion,Variables. Dependen de contratos,Más de 15 días,Ninguna,"Excel, Word, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, AutoCAD, Google Maps",Falta de estabilidad laboral,NA,No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,1,NA,No tengo posgrado,1,23,Departamento
6/1/2026 20:03:51,"Si, es mi profesión principal",Mujer,41 años - 45 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,11 y 15 años,Maestría,De 5 millones a 6 millones,Bogota D.C.,Tener RNA,Investigador independiente,Instituciones gubernamentales,Muy estables,No realizo trabajo de campo,Ninguna,"Excel, Word, Google Sheets, Python, QGis, ArcGis, Google Maps, Redes sociales: WhatsApp, Telegram, etc",Bajos salarios,NA,Antropología y Arqueología,Algo menor de lo que debería ganar,Mayor estabilidad laboral,5,NA,Antropología en general o arqueología,5,24,Departamento
6/1/2026 20:04:39,"No actualmente, pero lo he hecho antes",Hombre,41 años - 45 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Contratista - prestación de servicios",4 a 6 años,Pregrado,De 3 millones a 4 millones,Atlantico,Años de experiencia,Arqueologo,Obras civiles y construccion,Ocasionales o esporadicos,Más de 15 días,De 1 a 3 personas,"Excel, Word, Google Maps",Bajos salarios,NA,No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,2,NA,No tengo posgrado,2,25,Departamento
6/1/2026 20:08:12,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Trabajador independiente",4 a 6 años,Especializacion,De 3 millones a 4 millones,Tolima,Años de experiencia,Analista,Obras civiles y construccion,Muy estables,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, ArcGis, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc",Otro,NA,"SIG, Geografía y Ciencias Ambientales",Mucho menor a la que debería ganar,Más regulación del sector,4,"La pregunta 9 está habilitada para múltiple respuesta pero pide marcar solo un departamento. La pregunta 11 podría incluir el sector de energías renovables (e.g. solares).
La pregunta 16 es de escala, pero está configurada para seleccionar una opción no para asignarle un grado a una categoría.",SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,4,26,Departamento
6/1/2026 20:08:59,"Si, ocasionalmente",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Trabajador independiente, Consultoria",7 a 10 años,Especializacion,De 3 millones a 4 millones,Caldas,Tener RNA,Consultor,Consultoria ambiental o estudios de impacto,Variables. Dependen de contratos,De 1 a 5 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Redes sociales: WhatsApp, Telegram, etc",Otro,No tengo posgrado,"SIG, Geografía y Ciencias Ambientales",Algo menor de lo que debería ganar,Más regulación del sector,5,"Uno de los grandes problemas de la Arqueología en Colombia es que con el decreto 139 se reglamento un esquema de la Arqueología importante, pero le dió la libertad a las instituciones que requieren este tipo de trabajos de no continuar con el PAP, pues no indica fechas límites que deben cumplir para ejecutarlo,  y desde el ICANH así se denuncie no hacen seguimiento ni sancionan las afectaciones al patrimonio.",SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,5,27,Departamento
6/1/2026 20:08:59,"Si, ocasionalmente",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Trabajador independiente, Consultoria",7 a 10 años,Especializacion,De 3 millones a 4 millones,Risaralda,Tener RNA,Consultor,Consultoria ambiental o estudios de impacto,Variables. Dependen de contratos,De 1 a 5 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Redes sociales: WhatsApp, Telegram, etc",Otro,No tengo posgrado,"SIG, Geografía y Ciencias Ambientales",Algo menor de lo que debería ganar,Más regulación del sector,5,"Uno de los grandes problemas de la Arqueología en Colombia es que con el decreto 139 se reglamento un esquema de la Arqueología importante, pero le dió la libertad a las instituciones que requieren este tipo de trabajos de no continuar con el PAP, pues no indica fechas límites que deben cumplir para ejecutarlo,  y desde el ICANH así se denuncie no hacen seguimiento ni sancionan las afectaciones al patrimonio.",SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,5,27,Departamento
6/1/2026 20:08:59,"Si, ocasionalmente",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Trabajador independiente, Consultoria",7 a 10 años,Especializacion,De 3 millones a 4 millones,Valle del Cauca,Tener RNA,Consultor,Consultoria ambiental o estudios de impacto,Variables. Dependen de contratos,De 1 a 5 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Redes sociales: WhatsApp, Telegram, etc",Otro,No tengo posgrado,"SIG, Geografía y Ciencias Ambientales",Algo menor de lo que debería ganar,Más regulación del sector,5,"Uno de los grandes problemas de la Arqueología en Colombia es que con el decreto 139 se reglamento un esquema de la Arqueología importante, pero le dió la libertad a las instituciones que requieren este tipo de trabajos de no continuar con el PAP, pues no indica fechas límites que deben cumplir para ejecutarlo,  y desde el ICANH así se denuncie no hacen seguimiento ni sancionan las afectaciones al patrimonio.",SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,5,27,Departamento
6/1/2026 20:09:50,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Pregrado,De 4 millones a 5 millones,Bogota D.C.,Años de experiencia,Coordinador de proyectos,Obras civiles y construccion,Muy estables,De 1 a 5 días,Ninguna,"Excel, Word, QGis, Google Maps, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Inteligencia Artificial",Bajos salarios,NA,No tengo posgrado,Algo menor de lo que debería ganar,Más oportunidades de empleo,2,NA,No tengo posgrado,2,28,Departamento
6/1/2026 20:14:26,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 3 millones a 4 millones,Bolivar,Años de experiencia,Arqueologo,Oil and Gas,Variables. Dependen de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,NA,No tengo posgrado,Algo menor de lo que debería ganar,Mayor estabilidad laboral,1,NA,No tengo posgrado,1,29,Departamento
6/1/2026 20:14:26,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 3 millones a 4 millones,La Guajira,Años de experiencia,Arqueologo,Oil and Gas,Variables. Dependen de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,NA,No tengo posgrado,Algo menor de lo que debería ganar,Mayor estabilidad laboral,1,NA,No tengo posgrado,1,29,Departamento
