Timestamp,"1. Actualmente ¿trabajas en arqueología? 
",2. ¿Con que género te identificas?,3. ¿En qué rango de edad te encuentras?, 4. ¿En cuál de las siguientes áreas has desarrollado principalmente tu trabajo?  ,"5. Actualmente, ¿cómo obtienes tus ingresos relacionados con arqueología? Puedes seleccionar varias opciones",6 ¿Cuántos años tienes de experiencia en Arqueología?,"7. ¿Cuál es tu nivel de formación académica?
"," 8. ¿Cuál es tu ingreso mensual promedio relacionado con la arqueología?  Si tienes varias fuentes, un promedio general","9. ¿En qué departamento realizas la mayor parte de tu trabajo? Si tienes varios, elige los 2 más significativos. También aplica trabajo académico","10. En tu experiencia, ¿qué factor ha tenido mayor impacto en tus ingresos como arqueólog@?  Lo que mas te ha ayudado a subir tu salario considerablemente",11. ¿Cuál es actualmente tu cargo o rol en arqueología?,"  12. ¿En qué tipo de proyecto o empresa trabajas principalmente?  Si tienes varios, elige el más importante",13.Tus ingresos en arqueología son...,"14. En un mes típico, ¿cuántos días realizas trabajo de campo?",15. ¿Cuántas personas tienes a cargo dentro de tu proyecto o empleo?,16. ¿Cuáles de herramientas tecnológicas utilizas más para tus trabajos en arqueología? Elige todas las que sepas manejar,"17. ¿En que grado, consideras tú que es el mayor problema del mercado laboral de la Arqueología en Colombia? Elige el que consideras más relevante",18. ¿Valió la pena para ti hacer posgrado en arqueología? A nivel de salario y desarrollo profesional,"19. ¿En qué área está tu posgrado? Especialización, maestría o doctorado. Elige solo una","20. Según tu experiencia y lo que notas, ¿crees que tu remuneración actual es..?","21. Si pudieras cambiar una sola cosa para mejorar la profesión de los arqueólogos en Colombia, ¿cuál sería?","22.  Si pudieras decidir de nuevo, ¿volverías a elegir arqueología en Colombia como profesión? Califica de 1 a 5

1. No
2. Probablemente no
3. Quizás...Tal vez
4. Probablemente si
5. Claro ¡Me encanta!",Comentarios y sugerencias que nos quieras hacer o compartir. Puedes dejarnos reflexiones y anécdotas sobre tu vida profesional. Queremos escucharte
6/1/2026 19:40:11,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Trabajador independiente, Consultoria, Emprendimientos propios - empresa propia",7 a 10 años,Pregrado,De 4 millones a 5 millones,Cauca,Tener RNA,Director o lider de proyecto,"Soy empresario, emprendedor",Variables. Depende de contratos,De 1 a 5 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, AutoCAD, Redes sociales: WhatsApp, Telegram, etc",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 19:43:15,"No actualmente, pero lo he hecho antes",Hombre,20 años - 25 años,"Arqueología académica o básica: docencia, investigación, editoriales, museos, semilleros, proyectos academicos, universidades",Trabajador independiente,Entre 1 a 3 años,Pregrado,Menos de 2 millones de pesos,Cundinamarca,Manejar SIG,Arqueólogo,Semillerista de investigación - Universidad,Ocasionales o esporádicos,Más de 15 días,Ninguna,"Excel, Word, QGis, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Falta de relación entre formación y oportunidades laborales,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Más oportunidades de empleo,4,
6/1/2026 19:45:03,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Consultoria",7 a 10 años,Pregrado,De 5 millones a 6 millones,Meta,Años de experiencia,Arqueólogo,Consultoría ambiental o estudios de impacto,Muy estables. Cuento siempre con un salario fijo,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, ArcGis, Google Maps, Redes sociales: WhatsApp, Telegram, etc, BASECAMP",Falta de estabilidad laboral,Considero que el posgrado no es relevante,No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 19:45:06,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,11 y 15 años,Pregrado,De 3 millones a 4 millones,Antioquia,Nada ha ayudado a tener mejores ingresos,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,Más de 15 días,Ninguna,"Excel, Word, Google Maps",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mejores salarios,2,
6/1/2026 19:46:45,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Estudiante de pregrado,De 2 millones a 2.5 millones,Antioquia ,Años de experiencia,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 19:47:51,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Pregrado,De 4 millones a 5 millones,Putumayo,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,Más de 15 días,De 1 a 3 personas,Excel,Falta de estabilidad laboral,Considero que el posgrado no es relevante,No tengo posgrado,Mucho menor a la que debería ganar,Más oportunidades de empleo,1,
6/1/2026 19:48:53,"Si, ocasionalmente",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Museos y conservación. Gestor cultural",7 a 10 años,Pregrado,De 2 millones a 2.5 millones,Bogotá D.C.,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Ocasionales o esporádicos,11 a 15 días,De 4 a 10 personas,"Excel, Word, QGis, Google Maps",Falta de relación entre formación y oportunidades laborales,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,2,
6/1/2026 19:48:58,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 3 millones a 4 millones,Meta,Ubicacion geográfica,Auxiliar de arqueología,Empresas petroleras o de extracción de gas,Muy estables. Cuento siempre con un salario fijo,Más de 15 días,Ninguna,"Excel, Word, QGis, ArcGis, AutoCAD, Google Maps",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Algo menor de lo que debería ganar,Mejores salarios,4,
6/1/2026 19:50:16,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Contratista - prestación de servicios",Menos de 1 año,Pregrado,Menos de 2 millones de pesos,Bogotá D.C.,Nada ha mejorado mis ingresos ,Auxiliar de arqueología,Trabajo en laboratorios,Variables. Depende de contratos,No realizo trabajo de campo,Ninguna,"Excel, Word",Falta de claridad en tarifas u honorarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Algo menor de lo que debería ganar,Mejor reconocimiento profesional,2,No hay garantías de mejoras de salario ni con experiencia ni con posgrados 
6/1/2026 19:50:50,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,De 2.5 millones a 3 millones,La Guajira,Tener RNA,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"Excel, QGis",Exceso de informalidad,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mejor claridad en los honorarios o sueldos,5,
6/1/2026 19:51:47,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,Entre 1 a 3 años,Especializacion,De 2.5 millones a 3 millones,Bogotá D.C.,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,Ninguna,"Excel, QGis",Bajos salarios,"Útil. Lo mejoró si, pero no lo que esperaba",Otro,Mucho menor a la que debería ganar,Más regulación del sector,1,
6/1/2026 19:56:15,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 4 millones a 5 millones,"Bogotá D.C., Magdalena, Meta",Años de experiencia,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,Ninguna,"Excel, Word, QGis",Falta de estabilidad laboral,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,2,
6/1/2026 19:57:05,"Si, es mi profesión principal",Hombre,26 años - 30 años,ICANH,"Empleado directo de tiempo completo, Modelos de datos ",4 a 6 años,Especializacion,De 4 millones a 5 millones,Bogotá D.C.,Manejar SIG,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,De 1 a 5 días,Ninguna,"Excel, Word, Python, QGis, Google Maps, Fotogrametría, Inteligencia Artificial",Bajos salarios,"Útil. Lo mejoró si, pero no lo que esperaba",SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,Mucho menor a la que debería ganar,Mejores salarios,4,Hay estabilidad laboral pero los sueldos hace años no suben. 
6/1/2026 19:57:19,"Si, es mi profesión principal",Hombre,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Investigador forense",Menos de 1 año,Pregrado,De 3 millones a 4 millones,Bogotá D.C.,Años de experiencia,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Bajos salarios,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,1,
6/1/2026 19:58:49,"No actualmente, pero lo he hecho antes",Hombre,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Trabajador independiente,4 a 6 años,Maestría,Menos de 2 millones de pesos,Bogotá D.C.,Redes sociales,Tallerista,"Trabajo independiente, freenlance o por proyectos",Ocasionales o esporádicos,No realizo trabajo de campo,Ninguna,"Excel, Word, Google Maps, Fotogrametría, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Diferencias marcadas entre sectores (académico vs obras civiles),Poco útil. Muy poco realmente,Antropología en general o arqueología,Algo menor de lo que debería ganar,Mayor estabilidad laboral,1,"Abandoné la arqueología para empezar en otro campo, en la educación, la arqueología sirvió como un puente para ese proceso. Definitivamente no volvería a estudiar algo relacionado con la arqueología y no volvería a trabajar en una empresa relacionada con la arqueología preventiva. La doble moral de las vacas sagradas, los malos tratos y la destrucción del patrimonio arqueológico a manos de aquellos/as que se suponen deben protegerlo, es algo bastante desilusionante. Lastimosamente la arqueología se convirtió en un foco de estres, comenzó siendo una oportunidad reveladora, desafiante, pero rápidamente se convirtió en algo negativo para mí. "
6/1/2026 19:59:22,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 5 millones a 6 millones,Bolivar,Tener RNA,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 4 a 10 personas,"Excel, Word, Google Sheets, Google Maps, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,"No tengo título de posgrado aún, pero quiero hacerlo",Gestión del patrimonio cultural. Curaduría y restauración. Arquitectura. Estudios urbanisticos. Museología. Artes,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,4,
6/1/2026 19:59:37,"Si, es mi profesión principal",Prefiero no decirlo,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Especializacion,De 5 millones a 6 millones,Bogotá D.C.,Coordinador de actividades ,Coordinador de proyectos o afines,Consultoría ambiental o estudios de impacto,Muy estables. Cuento siempre con un salario fijo,No realizo trabajo de campo,Más de 10 personas,"Excel, Word, Google Sheets, Python, SPSS, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",La información es muy dispersa,Poco útil. Muy poco realmente,Ciencias de datos. Ingeniería de sistemas. Analítica de datos. Inteligencia artificial,Aproximadamente lo que debería ganar,Mejor claridad en los honorarios o sueldos,2,
6/1/2026 20:00:01,"Si, es mi profesión principal",Mujer,41 años - 45 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Maestría,De 4 millones a 5 millones,Bogotá D.C.,Tener RNA,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,De 6 a 10 días,Ninguna,"Excel, Word, QGis, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc",Otro,"Lo realice fuera de Colombia, con la intención de aprender y es vergonzoso que en el país se diga haciendo lo mismo, que hace 50 años... ",Otro,Mucho menor a la que debería ganar,Más regulación del sector,4,"1. Este tipo de ejercicios son muy valiosos, pero igual está sectorizados, las Universidades debería reevaluar su pensum y sus propios profesores algunos repiten lo que han hecho, repiten, repiten  cambian cositas pero es lo mismo.
2. Igual que existe el ICANH debería existe una agrupación seria, que actualmente no se tiene... 
3. Dicha agrupación debería ofertar, cursos, diplomados sobre diversos temas. 
4. La Rosca que se tiene al interior el gremio, no ayuda, la poca empatía.(Colegas que abarcan y abarcan muchas licencias, por ley se debería monitorear, que se tuviera  un tope maximo de licencias)

 5. Se debería tener un representante por universidades en dicha agrupación e ir regulando que se enseña, aterrizar las prácticas .... "
6/1/2026 20:00:11,"Si, es mi profesión principal",Mujer,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Especializacion,De 5 millones a 6 millones,Bogotá D.C.,Años de experiencia,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,De 1 a 5 días,Ninguna,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, Google Maps, Fotogrametría, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,No tengo posgrado en arqueológia en sig,SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 20:01:10,No,Hombre,20 años - 25 años,"Arqueología académica o básica: docencia, investigación, editoriales, museos, semilleros, proyectos academicos, universidades",Nunca he ganado ingresos,Menos de 1 año,Pregrado,Nunca he ganado nada,Santander,Años de experiencia,Desempleado ,Voluntariado,Ninguno,Más de 15 días,Ninguna,"Excel, Word, Google Sheets, SPSS, QGis, Google Maps, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Otro,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 20:01:38,"No actualmente, pero lo he hecho antes",Genero no binario,36 años - 40 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,4 a 6 años,Pregrado,Menos de 2 millones de pesos,"Atlánico, Bolivar, Cundinamarca, Meta",Tener RNA,Desempleada,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Ocasionales o esporádicos,De 1 a 5 días,Ninguna,"Excel, Word, SPSS, QGis, ArcGis, AutoCAD",Exceso de informalidad,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Mucho menor a la que debería ganar,Más regulación del sector,1,"La arqueología en colombia tiene muy mal manejo ambiental de parte de autoridades. Falta de respaldo y garantías, es un gremio muy conflictivo, desigual, corrupto y vendido a los intereses del sector privado."
6/1/2026 20:01:50,"Si, es mi profesión principal",Mujer,26 años - 30 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 3 millones a 4 millones,Bogotá D.C.,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,De 1 a 5 días,Ninguna,"Excel, Word, QGis, Fotogrametría",Falta de estabilidad laboral,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Algo menor de lo que debería ganar,Más regulación del sector,2,
6/1/2026 20:02:36,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Pregrado,De 2.5 millones a 3 millones,Bogotá D.C.,Tener RNA,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,Ninguna,"Excel, Word, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, AutoCAD, Google Maps",Falta de estabilidad laboral,No tengo título de posgrado y no quiero hacerlo ,No tengo posgrado,Aproximadamente lo que debería ganar,Mayor estabilidad laboral,1,
6/1/2026 20:03:51,"Si, es mi profesión principal",Mujer,41 años - 45 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Contratista - prestación de servicios,11 y 15 años,Maestría,De 5 millones a 6 millones,Bogotá D.C.,Tener RNA,Investigador independiente,Instituciones gubernamentales,Muy estables. Cuento siempre con un salario fijo,No realizo trabajo de campo,Ninguna,"Excel, Word, Google Sheets, Python, QGis, ArcGis, Google Maps, Redes sociales: WhatsApp, Telegram, etc",Bajos salarios,"Útil. Lo mejoró si, pero no lo que esperaba",Antropología en general o arqueología,Algo menor de lo que debería ganar,Mayor estabilidad laboral,5,
6/1/2026 20:04:39,"No actualmente, pero lo he hecho antes",Hombre,41 años - 45 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Contratista - prestación de servicios",4 a 6 años,Pregrado,De 3 millones a 4 millones,Atlánico,Años de experiencia,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Ocasionales o esporádicos,Más de 15 días,De 1 a 3 personas,"Excel, Word, Google Maps",Bajos salarios,Poco útil. Muy poco realmente,No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,2,
6/1/2026 20:08:12,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Empleado directo de tiempo completo, Trabajador independiente",4 a 6 años,Especializacion,De 3 millones a 4 millones,Tolima,Años de experiencia,Analista,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, ArcGis, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc",Otro,Solo lo estudié porque era necesario para optimizar mi desempeño profesional ,SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,Mucho menor a la que debería ganar,Más regulación del sector,4,"La pregunta 9 está habilitada para múltiple respuesta pero pide marcar solo un departamento. La pregunta 11 podría incluir el sector de energías renovables (e.g. solares).
La pregunta 16 es de escala, pero está configurada para seleccionar una opción no para asignarle un grado a una categoría. "
6/1/2026 20:08:59,"Si, ocasionalmente",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Trabajador independiente, Consultoria",7 a 10 años,Especializacion,De 3 millones a 4 millones,"Caldas, Risaralda, Valle del Cauca",Tener RNA,Consultor,Consultoría ambiental o estudios de impacto,Variables. Depende de contratos,De 1 a 5 días,De 1 a 3 personas,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, Google Maps, Fotogrametría, SQL, Redes sociales: WhatsApp, Telegram, etc",Otro,"No tengo posgrado en Arqueología, pero si tienes rna deberías adquirir más habilidades profesionales ",SIG. Geografía. Estudios territoriales. Ciencias Ambientales. Catastro. Teledetección. Arqueobotánica,Algo menor de lo que debería ganar,Más regulación del sector,5,"Uno de los grandes problemas de la Arqueología en Colombia es que con el decreto 139 se reglamento un esquema de la Arqueología importante, pero le dió la libertad a las instituciones que requieren este tipo de trabajos de no continuar con el PAP, pues no indica fechas límites que deben cumplir para ejecutarlo,  y desde el ICANH así se denuncie no hacen seguimiento ni sancionan las afectaciones al patrimonio."
6/1/2026 20:09:50,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,7 a 10 años,Pregrado,De 4 millones a 5 millones,Bogotá D.C.,Años de experiencia,Coordinador de proyectos o afines,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,De 1 a 5 días,Ninguna,"Excel, Word, QGis, Google Maps, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Inteligencia Artificial",Bajos salarios,Considero que el posgrado no es relevante,No tengo posgrado,Algo menor de lo que debería ganar,Más oportunidades de empleo,2,
6/1/2026 20:14:26,"Si, es mi profesión principal",Mujer,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 3 millones a 4 millones,"Bolivar, La Guajira, Magdalena, Meta, Valle del Cauca",Años de experiencia,Arqueólogo,Empresas petroleras o de extracción de gas,Variables. Depende de contratos,Más de 15 días,De 1 a 3 personas,"Excel, Word, QGis, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc",Falta de estabilidad laboral,Considero que el posgrado no es relevante,No tengo posgrado,Algo menor de lo que debería ganar,Mayor estabilidad laboral,1,
6/1/2026 20:14:45,"Si, es mi profesión principal",Mujer,20 años - 25 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,Entre 1 a 3 años,Maestría,De 4 millones a 5 millones,Bogotá D.C.,Habilidades de comunicación y persuasión,Auxiliar de arqueología,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Muy estables. Cuento siempre con un salario fijo,Más de 15 días,De 4 a 10 personas,"Excel, Word, Python, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, ArcGis, AutoCAD, Google Maps, Fotogrametría, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Harris Composer ",Falta de estabilidad laboral,"Útil. Lo mejoró si, pero no lo que esperaba",Otro,Mucho menor a la que debería ganar,Mayor estabilidad laboral,4,"La red de contactos es fundamental en este gremio, en ocasiones no valen los títulos, ni experiencia, sino a quien conoces para entrar a trabajar, para mi, ese es el mayor reto del gremio laboral en arqueología "
6/1/2026 20:15:09,"Si, es mi profesión principal",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc",Empleado directo de tiempo completo,4 a 6 años,Pregrado,De 4 millones a 5 millones,Cesar,Tus buenos contactos y tu red profesional,Arqueólogo,"Obras civiles: empresas dedicadas a la construcción de carreteras, urbanismo, energía, construcción",Variables. Depende de contratos,Más de 15 días,De 4 a 10 personas,"Excel, Word, QGis, Google Maps, Redes sociales: WhatsApp, Telegram, etc",Poca oferta de empleos,"No tengo título de posgrado aún, pero quiero hacerlo",No tengo posgrado,Aproximadamente lo que debería ganar,Mejores salarios,2,"Sugiero, con urgencia, crear nuestra colegiatura gremial."
6/1/2026 20:15:54,"Si, ocasionalmente",Hombre,31 años - 35 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Trabajador independiente, Museos y conservación. Gestor cultural",Entre 1 a 3 años,Pregrado,Menos de 2 millones de pesos,Boyacá,Tus buenos contactos y tu red profesional,Arqueólogo,"Trabajo independiente, freenlance o por proyectos",Variables. Depende de contratos,De 1 a 5 días,Ninguna,"Excel, Word, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, Google Maps, Fotogrametría, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Falta de claridad en tarifas u honorarios,Considero que el posgrado no es relevante,No tengo posgrado,Mucho menor a la que debería ganar,Mayor estabilidad laboral,3,
6/1/2026 20:19:46,"Si, es mi profesión principal",Hombre,41 años - 45 años,"Arqueología preventiva o de rescate: obras civiles, construcciones, licencias ambientales, etc","Contratista - prestación de servicios, Docencia e investigación universitaria, Turismo",11 y 15 años,Maestría,De 3 millones a 4 millones,"Bogotá D.C., Santander",Tus buenos contactos y tu red profesional,"Profesor de antropología, arqueología o afines",Universidad,Variables. Depende de contratos,De 1 a 5 días,Ninguna,"Excel, Word, Google Sheets, SPSS, QGis, Software de creación 3D: Blender, Agisfot Metashape, SketchUp, etc, Google Maps, Fotogrametría, Software de dibujo técnico y edicion fotografica: Illustrator, Corel, Krita, etc, Citacion bibliográfica: Mendeley, Zotero, EndNote, etc, Redes sociales: WhatsApp, Telegram, etc, Inteligencia Artificial",Bajos salarios,"Útil. Lo mejoró si, pero no lo que esperaba",Antropología en general o arqueología,Mucho menor a la que debería ganar,Mejores salarios,3,
